,index,Timestamp,Value 1,Moving average (5),Moving average (6),Moving average (8),Moving average (10)
161,161,1593145264007.0,6048.0,7316.0,7168.166666666667,6874.5,6670.6
162,162,1593145324151.0,5254.0,6816.2,6972.333333333333,6971.125,6718.2
163,163,1593145384321.0,6442.0,6073.2,6753.833333333333,6838.125,6669.2
164,164,1593145444487.0,4250.0,5534.2,5769.333333333333,6565.75,6646.1
165,165,1593145504649.0,11023.0,6603.4,6449.0,6974.5,6997.8
166,166,1593145564812.0,6238.0,6641.4,6542.5,6484.625,6978.7
167,167,1593145624977.0,10118.0,7614.2,7220.833333333333,6881.25,7215.2
168,168,1593145685145.0,7858.0,7897.4,7654.833333333333,7153.875,6985.3
169,169,1593145745316.0,8751.0,8797.6,8039.666666666667,7491.75,7165.9
170,170,1593145805471.0,4158.0,7424.6,8024.333333333333,7354.75,7014.0
171,171,1593145865639.0,5868.0,7350.6,7165.166666666667,7283.0,6996.0
172,172,1593145925817.0,5497.0,6426.4,7041.666666666667,7438.875,7020.3
173,173,1593145986690.0,6340.0,6122.8,6412.0,6853.5,7010.1
174,174,1593146046861.0,4782.0,5329.0,5899.333333333333,6671.5,7063.3
175,175,1593146106984.0,6340.0,5765.4,5497.5,6199.25,6595.0
176,176,1593146167143.0,3510.0,5293.8,5389.5,5655.75,6322.2
177,177,1593146227312.0,8413.0,5877.0,5813.666666666667,5613.5,6151.7
178,178,1593146287482.0,3510.0,5311.0,5482.5,5532.5,5716.9
179,179,1593146347633.0,7510.0,5856.6,5677.5,5737.75,5592.8
180,180,1593146407800.0,3982.0,5385.0,5544.166666666667,5548.375,5575.2
181,181,1593146467972.0,6111.0,5905.2,5506.0,5519.75,5599.5
182,182,1593146528131.0,6127.0,5448.0,5942.166666666667,5687.875,5662.5
183,183,1593146588285.0,5868.0,5919.6,5518.0,5628.875,5615.3
184,184,1593146648442.0,5497.0,5517.0,5849.166666666667,5877.25,5686.8
185,185,1593146708613.0,6692.0,6059.0,5712.833333333333,5662.125,5722.0
186,186,1593146768784.0,4680.0,5772.8,5829.166666666667,5808.375,5839.0
187,187,1593146828956.0,6442.0,5835.8,5884.333333333333,5674.875,5641.9
188,188,1593146889140.0,3510.0,5364.2,5448.166666666667,5615.875,5641.9
189,189,1593146949311.0,8035.0,5871.8,5809.333333333333,5856.375,5694.4
190,190,1593147009508.0,3982.0,5329.8,5556.833333333333,5588.25,5694.4
191,191,1593147069676.0,7038.0,5801.4,5614.5,5734.5,5787.1
192,192,1593147129806.0,3982.0,5309.4,5498.166666666667,5545.125,5572.6
193,193,1593147189959.0,6111.0,5829.6,5443.0,5472.5,5596.9
194,194,1593147250189.0,5434.0,5309.4,5763.666666666667,5566.75,5590.6
195,195,1593147310389.0,6075.0,5728.0,5437.0,5520.875,5528.9
196,196,1593147370564.0,6370.0,5594.4,5835.0,5878.375,5697.9
197,197,1593147430771.0,7315.0,6261.0,5881.166666666667,5788.375,5785.2
198,198,1593147491097.0,4887.0,6016.2,6032.0,5901.5,5922.9
199,199,1593147551293.0,6442.0,6217.8,6087.166666666667,5827.0,5763.6
200,200,1593147611466.0,4485.0,5899.8,5929.0,5889.875,5813.9
201,201,1593147671638.0,9010.0,6427.8,6418.166666666667,6252.25,6011.1
202,202,1593147731773.0,3510.0,5666.8,5941.5,6011.75,5963.9
203,203,1593147791944.0,8026.0,6294.6,6060.0,6255.625,6155.4
204,204,1593147852115.0,5876.0,6181.4,6224.833333333333,6193.875,6199.6
205,205,1593147912275.0,9279.0,7140.2,6697.666666666667,6439.375,6520.0
206,206,1593147972388.0,9520.0,7242.2,7536.833333333333,7018.5,6835.0
207,207,1593148032552.0,7052.0,7950.6,7210.5,7094.75,6808.7
208,208,1593148092696.0,9667.0,8278.8,8236.666666666666,7742.5,7286.7
209,209,1593148152845.0,7619.0,8627.4,8168.833333333333,7568.625,7404.4
210,210,1593148213012.0,5504.0,7872.4,8106.833333333333,7817.875,7506.3
211,211,1593148273184.0,8497.0,7667.8,7976.5,7876.75,7455.0
212,212,1593148333339.0,4750.0,7207.4,7181.5,7736.0,7579.0
213,213,1593148393508.0,6865.0,6647.0,7150.333333333333,7434.25,7462.9
214,214,1593148453676.0,5862.0,6295.6,6516.166666666667,6977.0,7461.5
215,215,1593148513848.0,6340.0,6462.8,6303.0,6888.0,7167.6
216,216,1593148573991.0,4692.0,5701.8,6167.666666666667,6266.125,6684.8
217,217,1593148634160.0,9142.0,6580.2,6275.166666666667,6456.5,6893.8
218,218,1593148694330.0,9540.0,7115.2,7073.5,6961.0,6881.1
219,219,1593148754501.0,8485.0,7639.8,7343.5,6959.5,6967.7
220,220,1593148814669.0,4225.0,7216.8,7070.666666666667,6893.875,6839.8
221,221,1593148874840.0,6921.0,7662.6,7167.5,6900.875,6682.2
222,222,1593148935006.0,5254.0,6885.0,7261.166666666667,6824.875,6732.6
223,223,1593148995176.0,6048.0,6186.6,6745.5,6788.375,6650.9
224,224,1593149055344.0,5152.0,5520.0,6014.166666666667,6845.875,6579.9
225,225,1593149115467.0,6865.0,6048.0,5744.166666666667,6561.25,6632.4
226,226,1593149175634.0,3510.0,5365.8,5625.0,5807.5,6514.2
227,227,1593149235784.0,7510.0,5817.0,5723.166666666667,5685.625,6351.0
228,228,1593149295953.0,3690.0,5345.4,5462.5,5618.75,5766.0
229,229,1593149356124.0,7960.0,5907.0,5781.166666666667,5748.625,5713.5
230,230,1593149416295.0,3982.0,5330.4,5586.166666666667,5589.625,5689.2
231,231,1593149476439.0,7038.0,6036.0,5615.0,5713.375,5700.9
232,232,1593149536592.0,4846.0,5503.2,5837.666666666667,5675.125,5660.1
233,233,1593149596760.0,7716.0,6308.4,5872.0,5781.5,5826.9
234,234,1593149656928.0,8281.0,6372.6,6637.166666666667,6377.875,6139.8
235,235,1593149717096.0,6340.0,6844.2,6367.166666666667,6231.625,6087.3
236,236,1593149777259.0,4680.0,6372.6,6483.5,6355.375,6204.3
237,237,1593149837429.0,7243.0,6852.0,6517.666666666667,6265.75,6177.6
238,238,1593149897588.0,3510.0,6010.8,6295.0,6206.75,6159.6
239,239,1593149957727.0,7612.0,5877.0,6277.666666666667,6278.5,6124.8
240,240,1593150017896.0,4084.0,5425.8,5578.166666666667,6183.25,6135.0
241,241,1593150078055.0,9438.0,6377.4,6094.5,6398.5,6375.0
242,242,1593150138218.0,4084.0,5745.6,5995.166666666667,5873.875,6298.8
243,243,1593150198388.0,3510.0,5745.6,5373.0,5520.125,5878.2
244,244,1593150258560.0,9705.0,6164.2,6405.5,6148.25,6020.6
245,245,1593150318728.0,7542.0,6855.8,6393.833333333333,6185.625,6140.8
246,246,1593150378904.0,10687.0,7105.6,7494.333333333333,7082.75,6741.5
247,247,1593150439072.0,8292.0,7947.2,7303.333333333333,7167.75,6846.4
248,248,1593150499224.0,6618.0,8568.8,7725.666666666667,7484.5,7157.2
249,249,1593150559381.0,8324.0,8292.6,8528.0,7345.25,7228.4
250,250,1593150619549.0,4035.0,7591.2,7583.0,7339.125,7223.5
251,251,1593150679716.0,7690.0,6991.8,7607.666666666667,7861.625,7048.7
252,252,1593150739972.0,4957.0,6324.8,6652.666666666667,7268.125,7136.0
253,253,1593150800140.0,7281.0,6457.4,6484.166666666667,7235.5,7513.1
254,254,1593150860308.0,5152.0,5823.0,6239.833333333333,6543.625,7057.8
255,255,1593150920504.0,6340.0,6284.0,5909.166666666667,6299.625,6937.6
256,256,1593150980652.0,5025.0,5751.0,6074.166666666667,6100.5,6371.4
257,257,1593151040820.0,6340.0,6027.6,5849.166666666667,5852.5,6176.2
258,258,1593151100989.0,3510.0,5273.4,5608.0,5786.875,5865.4
259,259,1593151161160.0,7510.0,5745.0,5646.166666666667,5764.375,5784.0
260,260,1593151221332.0,3717.0,5220.4,5407.0,5609.375,5752.2
261,261,1593151281517.0,8035.0,5822.4,5689.5,5703.625,5786.7
262,262,1593151341688.0,4616.0,5477.6,5621.333333333333,5636.625,5752.6
